model,mode,supercategory,n,correct,accuracy,avg_confidence,calibration_gap,expected_calibration_error,rms_calibration_error,n_shot_mean,n_shot_min,n_shot_max,truncated_count
base,five_shot,Humanities,4705,1122,0.23846971307120085,0.39977144404501513,0.16130173097381428,0.16130173097381426,0.1879583319307122,3.891392136025505,0,5,0
base,five_shot,Other,3107,826,0.2658513035082073,0.41973327802890437,0.15388197452069707,0.1538819745206971,0.18396594223849527,4.868361763759253,0,5,0
base,five_shot,STEM,3153,835,0.26482714874722485,0.5098798413088388,0.24505269256161394,0.24566180083890055,0.27385520145917525,4.998097050428163,4,5,0
base,five_shot,Social Sciences,3077,952,0.30939226519337015,0.47691154610734887,0.16751928091397872,0.16931732406196248,0.1921742894241281,4.906077348066298,3,5,0
base,zero_shot,Humanities,4705,1138,0.24187035069075452,0.8706059087855657,0.6287355580948111,0.6287355580948111,0.631277486681359,0.0,0,0,0
base,zero_shot,Other,3107,742,0.23881557772771161,0.8043521135652184,0.5655365358375068,0.5655365358375068,0.5725279813670736,0.0,0,0,0
base,zero_shot,STEM,3153,674,0.21376466856961623,0.8448507242398605,0.6310860556702442,0.6310860556702443,0.6378427190411973,0.0,0,0,0
base,zero_shot,Social Sciences,3077,670,0.21774455638609036,0.8516049839224489,0.6338604275363585,0.6338604275363584,0.6370977966590363,0.0,0,0,0
sft,five_shot,Humanities,4705,1179,0.2505844845908608,0.41274053625422,0.16215605166335922,0.16222069337568173,0.20337326463242525,3.891392136025505,0,5,0
sft,five_shot,Other,3107,844,0.2716446733183135,0.4235998572338652,0.15195518391555168,0.15270950220043264,0.17626933555964602,4.868361763759253,0,5,0
sft,five_shot,STEM,3153,811,0.2572153504598795,0.5112245179549725,0.254009167495093,0.25400916749509295,0.2778365607118269,4.998097050428163,4,5,0
sft,five_shot,Social Sciences,3077,789,0.25641858953526164,0.4215826048531779,0.16516401531791625,0.16516401531791627,0.17803009305653533,4.906077348066298,3,5,0
sft,zero_shot,Humanities,4705,1137,0.24165781083953242,0.8811608528356116,0.6395030419960792,0.6395030419960792,0.643838730364389,0.0,0,0,0
sft,zero_shot,Other,3107,740,0.23817186997103315,0.8026495174671777,0.5644776474961446,0.5645894010062381,0.5761520059861623,0.0,0,0,0
sft,zero_shot,STEM,3153,671,0.21281319378369806,0.8544340319399829,0.6416208381562849,0.6416208381562849,0.6508270226873942,0.0,0,0,0
sft,zero_shot,Social Sciences,3077,671,0.21806954826129346,0.858871307462541,0.6408017592012476,0.6408017592012476,0.6461398757331939,0.0,0,0,0
