model,mode,subject,subject_label,supercategory,n,correct,accuracy,avg_confidence,calibration_gap,expected_calibration_error,rms_calibration_error,n_shot_mean,n_shot_min,n_shot_max,truncated_count
base,five_shot,abstract_algebra,abstract algebra,STEM,100,19,0.19,0.5602311760187149,0.37023117601871486,0.370231176018715,0.3794192519092334,5.0,5,5,0
base,five_shot,anatomy,anatomy,STEM,135,27,0.2,0.45848304563098485,0.25848304563098484,0.2584830456309849,0.27553024298532375,5.0,5,5,0
base,five_shot,astronomy,astronomy,STEM,152,26,0.17105263157894737,0.5356943075986285,0.3646416760196811,0.3646416760196811,0.37774816271868134,5.0,5,5,0
base,five_shot,business_ethics,business ethics,Other,100,18,0.18,0.4083802589774132,0.2283802589774132,0.2283802589774132,0.24752698557846978,5.0,5,5,0
base,five_shot,clinical_knowledge,clinical knowledge,Other,265,65,0.24528301886792453,0.3923721948884568,0.1470891760205323,0.1470891760205323,0.17434688547725402,5.0,5,5,0
base,five_shot,college_biology,college biology,STEM,144,33,0.22916666666666666,0.4928132442550527,0.26364657758838606,0.263646577588386,0.2723266591007812,5.0,5,5,0
base,five_shot,college_chemistry,college chemistry,STEM,100,21,0.21,0.39589623391628265,0.18589623391628265,0.1923224824666977,0.2019265805740798,5.0,5,5,0
base,five_shot,college_computer_science,college computer science,STEM,100,30,0.3,0.439483537375927,0.139483537375927,0.14180080860853195,0.20183897991029284,5.0,5,5,0
base,five_shot,college_mathematics,college mathematics,STEM,100,29,0.29,0.486590262055397,0.19659026205539704,0.19659026205539704,0.27466344639876766,5.0,5,5,0
base,five_shot,college_medicine,college medicine,Other,173,45,0.26011560693641617,0.42457028362103283,0.16445467668461666,0.18202310300975866,0.20538454543197765,4.855491329479769,0,5,0
base,five_shot,college_physics,college physics,STEM,102,24,0.23529411764705882,0.5525228252597884,0.31722870761272953,0.31722870761272953,0.3881486715915828,5.0,5,5,0
base,five_shot,computer_security,computer security,STEM,100,20,0.2,0.45840410351753236,0.25840410351753235,0.25840410351753235,0.28614518157913166,5.0,5,5,0
base,five_shot,conceptual_physics,conceptual physics,STEM,235,68,0.28936170212765955,0.47994402672382114,0.1905823245961616,0.19282946992427746,0.22406938986550481,5.0,5,5,0
base,five_shot,econometrics,econometrics,Social Sciences,114,29,0.2543859649122807,0.3842121987489232,0.1298262338366425,0.1298262338366425,0.16936751903224576,5.0,5,5,0
base,five_shot,electrical_engineering,electrical engineering,STEM,145,28,0.19310344827586207,0.42274313034682437,0.2296396820709623,0.22963968207096233,0.2391747390521026,5.0,5,5,0
base,five_shot,elementary_mathematics,elementary mathematics,STEM,378,98,0.25925925925925924,0.6227971399744983,0.363537880715239,0.36353788071523896,0.37648405223468917,5.0,5,5,0
base,five_shot,formal_logic,formal logic,Humanities,126,19,0.15079365079365079,0.4372374096087047,0.2864437588150539,0.2864437588150539,0.295260648202846,5.0,5,5,0
base,five_shot,global_facts,global facts,Other,100,15,0.15,0.734127186536789,0.584127186536789,0.5841271865367889,0.601518873404891,5.0,5,5,0
base,five_shot,high_school_biology,high school biology,STEM,310,93,0.3,0.5067050029193202,0.2067050029193202,0.20850832260424093,0.2611151748605163,5.0,5,5,0
base,five_shot,high_school_chemistry,high school chemistry,STEM,203,57,0.28078817733990147,0.3899374821503174,0.10914930481041596,0.12165197568573972,0.165686044871701,5.0,5,5,0
base,five_shot,high_school_computer_science,high school computer science,STEM,100,21,0.21,0.44793970048427584,0.23793970048427585,0.25211929321289067,0.2804252466603204,4.95,4,5,0
base,five_shot,high_school_european_history,high school european history,Humanities,165,45,0.2727272727272727,0.40921037197113036,0.13648309924385765,0.1429314154567141,0.21641715332798547,0.9272727272727272,0,1,0
base,five_shot,high_school_geography,high school geography,Social Sciences,198,69,0.3484848484848485,0.6120035437622455,0.263518695277397,0.2635186952773971,0.29723667069488374,5.0,5,5,0
base,five_shot,high_school_government_and_politics,high school government and politics,Social Sciences,193,70,0.3626943005181347,0.5455277566773904,0.18283345615925567,0.18283345615925567,0.20433139093268085,5.0,5,5,0
base,five_shot,high_school_macroeconomics,high school macroeconomics,Social Sciences,390,121,0.31025641025641026,0.42816215188075335,0.11790574162434309,0.1299480960919307,0.1525329521448903,5.0,5,5,0
base,five_shot,high_school_mathematics,high school mathematics,STEM,270,74,0.2740740740740741,0.5441735242251997,0.27009945015112563,0.2753077234382983,0.3229537081730768,5.0,5,5,0
base,five_shot,high_school_microeconomics,high school microeconomics,Social Sciences,238,77,0.3235294117647059,0.5807283461845222,0.2571989344198163,0.26420417966461984,0.3111016307685256,5.0,5,5,0
base,five_shot,high_school_physics,high school physics,STEM,151,40,0.26490066225165565,0.4963416188757941,0.23144095662413844,0.2314409566241384,0.27724539015665867,5.0,5,5,0
base,five_shot,high_school_psychology,high school psychology,Social Sciences,545,194,0.3559633027522936,0.4543016064604488,0.09833830370815522,0.09930404495755468,0.1306584343643355,5.0,5,5,0
base,five_shot,high_school_statistics,high school statistics,STEM,216,101,0.4675925925925926,0.6736425517333878,0.2060499591407952,0.23394515089414739,0.25387179624422024,4.99537037037037,4,5,0
base,five_shot,high_school_us_history,high school us history,Humanities,204,59,0.28921568627450983,0.3640126677996972,0.07479698152518738,0.07479698152518738,0.11111650941908945,1.0637254901960784,1,2,0
